prefix_s,project_s,targeted_locus_name_s,div_s,organism_an,bioproject_s,biosample_ss,infra_name_ss,other_src_ss,contigs_total_length_l,contigs_count_l,contigs_proteins_count_l,contigs_annotated_s,scaffolds_count_l,scaffolds_proteins_count_l,scaffolds_total_length_l,scaffolds_annotated_s,scaffolds_range_ss,chromosome_range_ss,update_date_dt,create_date_dt
JAGZOW01,WGS,,BCT,Ruminococcus bicirculans,PRJNA698986,SAMN17801033,isolate: L3_122_000M1_dasL3_122_000M1_metabat.metabat.36,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2388048,45,2123,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZOX01,WGS,,BCT,Bacteroidales bacterium,PRJNA698986,SAMN17801034,isolate: L3_121_000M1_dasL3_121_000M1_concoct_74,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",4741793,416,3901,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZOY01,WGS,,BCT,Haemophilus parainfluenzae,PRJNA698986,SAMN17801035,isolate: L3_121_000M1_dasL3_121_000M1_concoct_96,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",1938190,517,2096,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZOZ01,WGS,,BCT,Clostridiales bacterium,PRJNA698986,SAMN17801036,isolate: L3_121_000M1_dasL3_121_000M1_maxbin2.maxbin.057sta_sub,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2023671,29,1846,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZPA01,WGS,,BCT,Eubacterium sp.,PRJNA698986,SAMN17801037,isolate: L3_121_000M1_dasL3_121_000M1_metabat.metabat.142,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",1966005,44,1836,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZPB01,WGS,,BCT,Clostridiales bacterium,PRJNA698986,SAMN17801038,isolate: L3_121_000M1_dasL3_121_000M1_metabat.metabat.15,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",3309587,169,2818,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZPC01,WGS,,BCT,Clostridium sp.,PRJNA698986,SAMN17801039,isolate: L3_121_000M1_dasL3_121_000M1_metabat.metabat.40,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2647159,49,2406,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZPD01,WGS,,BCT,butyrate-producing bacterium,PRJNA698986,SAMN17801040,isolate: L3_121_000M1_dasL3_121_000M1_metabat.metabat.68,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2501949,102,2163,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZPE01,WGS,,BCT,Ruminococcus bicirculans,PRJNA698986,SAMN17801041,isolate: L3_121_000M1_dasL3_121_000M1_metabat.metabat.69,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2303809,56,2052,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
JAGZPF01,WGS,,BCT,Eubacterium sp.,PRJNA698986,SAMN17801042,isolate: L3_121_000M1_dasL3_121_000M1_metabat.metabat.92,"host: Homo sapiens,isolation_source: maternal feces,metagenome_source: human gut metagenome",2065986,110,1865,Yes,0,0,0,No,,,2021-05-17T00:00:00Z,2021-05-17T00:00:00Z
