prefix_s,project_s,targeted_locus_name_s,div_s,organism_an,bioproject_s,biosample_ss,infra_name_ss,other_src_ss,contigs_total_length_l,contigs_count_l,contigs_proteins_count_l,contigs_annotated_s,scaffolds_count_l,scaffolds_proteins_count_l,scaffolds_total_length_l,scaffolds_annotated_s,scaffolds_range_ss,chromosome_range_ss,update_date_dt,create_date_dt
PJKA01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162557,strain: GP24,"host: Homo sapiens,isolation_source: gut microbiota",3009091,14,2428,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJKB01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162556,strain: GP22,"host: Homo sapiens,isolation_source: gut microbiota",2902150,7,2331,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJKC01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162555,strain: GP42,"host: Homo sapiens,isolation_source: gut microbiota",3197742,14,2601,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJKD01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162554,strain: GP30,"host: Homo sapiens,isolation_source: gut microbiota",3188864,21,2605,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJKE01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162553,strain: GP25,"host: Homo sapiens,isolation_source: gut microbiota",3143021,23,2574,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJKF01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162552,strain: GP15,"host: Homo sapiens,isolation_source: gut microbiota",3167448,21,2583,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJKG01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162551,strain: GP12,"host: Homo sapiens,isolation_source: gut microbiota",3113875,20,2560,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJKH01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162550,strain: GP11,"host: Homo sapiens,isolation_source: gut microbiota",3174465,42,2620,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJKK01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162547,strain: GP07,"host: Homo sapiens,isolation_source: gut microbiota",3096868,15,2515,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJKL01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162546,strain: BSH05,"host: Homo sapiens,isolation_source: gut microbiota",2696413,23,2215,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJKM01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162545,strain: BSH01,"host: Homo sapiens,isolation_source: gut microbiota",2660161,16,2134,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJKN01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162544,strain: GP43,"host: Homo sapiens,isolation_source: gut microbiota",2795610,11,2346,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJKO01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162543,strain: GP41,"host: Homo sapiens,isolation_source: gut microbiota",2770301,14,2338,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJKP01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162542,strain: GP39,"host: Homo sapiens,isolation_source: gut microbiota",2883372,23,2420,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJKQ01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162541,strain: GP38,"host: Homo sapiens,isolation_source: gut microbiota",2846238,18,2428,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJKR01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162540,strain: GP36,"host: Homo sapiens,isolation_source: gut microbiota",2750232,11,2321,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJKS01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162539,strain: GP29,"host: Homo sapiens,isolation_source: gut microbiota",2753166,20,2334,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJKT01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162538,strain: GP21,"host: Homo sapiens,isolation_source: gut microbiota",2843384,18,2432,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJKU01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162537,strain: GP06,"host: Homo sapiens,isolation_source: gut microbiota",2770401,19,2336,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJKV01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162536,strain: GP05,"host: Homo sapiens,isolation_source: gut microbiota",2787215,11,2384,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJKW01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162535,strain: GP04,"host: Homo sapiens,isolation_source: gut microbiota",2838669,22,2411,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJKX01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162534,strain: GP03,"host: Homo sapiens,isolation_source: gut microbiota",2824426,19,2395,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJKY01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162533,strain: GP01,"host: Homo sapiens,isolation_source: gut microbiota",2762447,1,2278,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJKZ01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162532,strain: GP40,"host: Homo sapiens,isolation_source: gut microbiota",2790720,12,2377,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJLA01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162531,strain: GP35,"host: Homo sapiens,isolation_source: gut microbiota",2861208,14,2445,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
PJLB01,WGS,,BCT,Akkermansia muciniphila,PRJNA331216,SAMN08162530,strain: GP28,"host: Homo sapiens,isolation_source: gut microbiota",2720086,13,2313,Yes,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
