prefix_s,project_s,targeted_locus_name_s,div_s,organism_an,bioproject_s,biosample_ss,infra_name_ss,other_src_ss,contigs_total_length_l,contigs_count_l,contigs_proteins_count_l,contigs_annotated_s,scaffolds_count_l,scaffolds_proteins_count_l,scaffolds_total_length_l,scaffolds_annotated_s,scaffolds_range_ss,chromosome_range_ss,update_date_dt,create_date_dt
ASXJ01,WGS,,BCT,Brucella intermedia 229E,PRJNA205336,SAMN02470619,strain: 229E,"host: Homo sapiens,isolation_source: stomach biopsy",4808223,378,4249,Yes,0,0,0,No,,,2014-11-04T00:00:00Z,2013-09-30T00:00:00Z
NXMB01,WGS,,BCT,Streptococcus salivarius,PRJNA412393,SAMN07710846,strain: MIT 14-1770-C1,"host: Homo sapiens,isolation_source: stomach biopsy",2355730,45,2096,Yes,0,0,0,No,,,2017-10-03T00:00:00Z,2017-10-03T00:00:00Z
NXMC01,WGS,,BCT,Staphylococcus epidermidis,PRJNA412393,SAMN07710845,strain: MIT 14-1777-C6,"host: Homo sapiens,isolation_source: stomach biopsy",2482584,62,0,Yes,0,0,0,No,,,2017-10-03T00:00:00Z,2017-10-03T00:00:00Z
NZ_JMTC01,WGS,,BCT,Helicobacter pylori,PRJNA224116,SAMN02769474,strain: oki109,"host: Homo sapiens,isolation_source: Stomach biopsy",0,0,0,No,0,0,0,No,NZ_JMTC01000001-NZ_JMTC01000046,,2021-06-22T00:00:00Z,2020-05-30T00:00:00Z
NZ_JMTD01,WGS,,BCT,Helicobacter pylori,PRJNA224116,SAMN02769477,strain: oki439,"host: Homo sapiens,isolation_source: Stomach biopsy",0,0,0,No,0,0,0,No,NZ_JMTD01000001-NZ_JMTD01000038,,2021-06-22T00:00:00Z,2020-05-30T00:00:00Z
NZ_JMTE01,WGS,,BCT,Helicobacter pylori,PRJNA224116,SAMN02769478,strain: oki601,"host: Homo sapiens,isolation_source: Stomach biopsy",0,0,0,No,0,0,0,No,NZ_JMTE01000001-NZ_JMTE01000050,,2021-06-22T00:00:00Z,2020-05-30T00:00:00Z
NZ_JMTF01,WGS,,BCT,Helicobacter pylori,PRJNA224116,SAMN02769479,strain: oki804,"host: Homo sapiens,isolation_source: Stomach biopsy",0,0,0,No,0,0,0,No,NZ_JMTF01000001-NZ_JMTF01000052,,2021-06-22T00:00:00Z,2020-05-30T00:00:00Z
NZ_JMTG01,WGS,,BCT,Helicobacter pylori,PRJNA224116,SAMN02769480,strain: oki891,"host: Homo sapiens,isolation_source: Stomach biopsy",0,0,0,No,0,0,0,No,NZ_JMTG01000001-NZ_JMTG01000041,,2021-06-22T00:00:00Z,2020-05-30T00:00:00Z
NZ_JMTH01,WGS,,BCT,Helicobacter pylori,PRJNA224116,SAMN02769481,strain: oki1420,"host: Homo sapiens,isolation_source: Stomach biopsy",0,0,0,No,0,0,0,No,NZ_JMTH01000001-NZ_JMTH01000050,,2021-06-22T00:00:00Z,2020-05-30T00:00:00Z
NZ_JOKW01,WGS,,BCT,Helicobacter pylori,PRJNA224116,SAMN02864842,strain: Col2025,"host: Homo sapiens,isolation_source: stomach biopsy",0,0,0,No,54,1469,1638204,Yes,NZ_JOKW01000001-NZ_JOKW01000054,,2022-01-20T00:00:00Z,2014-11-26T00:00:00Z
NZ_JQNY01,WGS,,BCT,Helicobacter pylori,PRJNA224116,SAMN03009498,strain: Taiwan-47,"host: Homo sapiens,isolation_source: stomach biopsy",0,0,0,No,58,1404,1577473,Yes,NZ_JQNY01000001-NZ_JQNY01000058,,2022-01-28T00:00:00Z,2014-10-14T00:00:00Z
NZ_JRAC01,WGS,,BCT,Helicobacter pylori,PRJNA224116,SAMN03009497,strain: Manado-1,"host: Homo sapiens,isolation_source: stomach biopsy",0,0,0,No,38,1370,1539815,Yes,NZ_JRAC01000001-NZ_JRAC01000038,,2022-01-28T00:00:00Z,2014-10-14T00:00:00Z
JMTC01,WGS,,BCT,Helicobacter pylori,PRJNA246659,SAMN02769474,strain: oki109,"host: Homo sapiens,isolation_source: Stomach biopsy",1535793,46,0,No,0,0,0,No,,,2020-05-28T00:00:00Z,2020-05-28T00:00:00Z
JMTD01,WGS,,BCT,Helicobacter pylori,PRJNA246661,SAMN02769477,strain: oki439,"host: Homo sapiens,isolation_source: Stomach biopsy",1611544,38,0,No,0,0,0,No,,,2020-05-28T00:00:00Z,2020-05-28T00:00:00Z
JMTE01,WGS,,BCT,Helicobacter pylori,PRJNA246663,SAMN02769478,strain: oki601,"host: Homo sapiens,isolation_source: Stomach biopsy",1562350,50,0,No,0,0,0,No,,,2020-05-28T00:00:00Z,2020-05-28T00:00:00Z
JMTF01,WGS,,BCT,Helicobacter pylori,PRJNA246664,SAMN02769479,strain: oki804,"host: Homo sapiens,isolation_source: Stomach biopsy",1537847,52,0,No,0,0,0,No,,,2020-05-28T00:00:00Z,2020-05-28T00:00:00Z
